Question	Answer	Metadata
給与明細はどこで確認できますか	イントラサイトの給与明細ページから確認できます。\r\nhttp://example.com/kyuyo/	
休日出勤をした時の勤怠カテゴリはどれにすればよいですか	「残業」を指定してください。	
部署異動を希望する方法について知りたい	idou@example.com までメールしてください。	
中途採用候補者を紹介したい	chuto@example.com までメールしてください。	
自分の職位を知りたい	イントラサイトの「キャリア」ページから確認できます。\r\nhttp://example.com/career/	
組織図はどこでダウンロードできますか	組織図の資料は用意していません。コーポレートサイトに掲載してある図をご利用ください。	
職位グレードの種類を知りたい	イントラサイトの「キャリア」ページから確認できます。	
弔辞の際の手続きについて知りたい	SharePointのフォームから登録してください。	
慶事の際の手続きについて知りたい	SharePointのフォームから登録してください。	
住所変更したい	SharePointのフォームから登録してください。	
子供が生まれた	SharePointのフォームから登録してください。	
結婚した	SharePointのフォームから登録してください。	
